Cell:,AOI33xp33_ASAP7_75t_R,Width:,18,HPWL:,44.00
Name,X,Y,Orient,Row,Flipped
MM38,0.000,1.0,MX_R180,PMOS,True
MM35,0.108,1.0,MX_R180,PMOS,True
MM31,0.216,1.0,MX_R180,PMOS,True
MM32,0.324,1.0,MX,PMOS,False
MM37,0.432,1.0,MX,PMOS,False
MM44,0.000,0.0,MY,NMOS,True
MM33,0.540,1.0,MX,PMOS,False
MM39,0.162,0.0,MY,NMOS,True
MM45,0.324,0.0,R0,NMOS,False
MM48,0.486,0.0,MY,NMOS,True
MM46,0.648,0.0,MY,NMOS,True
MM47,0.810,0.0,R0,NMOS,False
