Cell:,OAI32xp33_ASAP7_75t_R,Width:,13,HPWL:,23.00
Name,X,Y,Orient,Row,Flipped
MM13,0.000,1.0,MX_R180,PMOS,True
MM18,0.108,1.0,MX,PMOS,False
MM21,0.000,0.0,MY,NMOS,True
MM3,0.216,1.0,MX_R180,PMOS,True
MM1,0.108,0.0,MY,NMOS,True
MM2,0.378,1.0,MX_R180,PMOS,True
MM0,0.540,1.0,MX,PMOS,False
MM5,0.216,0.0,R0,NMOS,False
MM15,0.324,0.0,MY,NMOS,True
MM14,0.432,0.0,R0,NMOS,False
