Cell:,OAI33xp33_ASAP7_75t_R,Width:,18,HPWL:,42.00
Name,X,Y,Orient,Row,Flipped
MM32,0.000,0.0,R0,NMOS,False
MM48,0.000,1.0,MX_R180,PMOS,True
MM35,0.108,0.0,R0,NMOS,False
MM45,0.162,1.0,MX,PMOS,False
MM44,0.324,1.0,MX_R180,PMOS,True
MM37,0.216,0.0,MY,NMOS,True
MM39,0.486,1.0,MX_R180,PMOS,True
MM46,0.648,1.0,MX,PMOS,False
MM31,0.324,0.0,MY,NMOS,True
MM33,0.432,0.0,MY,NMOS,True
MM47,0.810,1.0,MX_R180,PMOS,True
MM38,0.540,0.0,R0,NMOS,False
