Cell:,OAI33xp33_ASAP7_75t_R,Width:,18,HPWL:,49.00
Name,X,Y,Orient,Row,Flipped
MM44,0.000,1.0,MX_R180,PMOS,True
MM45,0.162,1.0,MX_R180,PMOS,True
MM39,0.324,1.0,MX_R180,PMOS,True
MM46,0.486,1.0,MX_R180,PMOS,True
MM47,0.648,1.0,MX,PMOS,False
MM48,0.810,1.0,MX_R180,PMOS,True
MM38,0.000,0.0,R0,NMOS,False
MM32,0.108,0.0,MY,NMOS,True
MM33,0.216,0.0,MY,NMOS,True
MM31,0.324,0.0,MY,NMOS,True
MM37,0.432,0.0,R0,NMOS,False
MM35,0.540,0.0,MY,NMOS,True
