Cell:,OAI22xp33_ASAP7_75t_R,Width:,8,HPWL:,19.00
Name,X,Y,Orient,Row,Flipped
MM6,0.000,1.0,MX_R180,PMOS,True
MM10,0.108,1.0,MX_R180,PMOS,True
MM11,0.216,1.0,MX,PMOS,False
MM8,0.324,1.0,MX_R180,PMOS,True
MM2,0.000,0.0,R0,NMOS,False
MM0,0.108,0.0,MY,NMOS,True
MM1,0.216,0.0,MY,NMOS,True
MM3,0.324,0.0,MY,NMOS,True
