Cell:,OAI332xp33_ASAP7_75t_R,Width:,24,HPWL:,68.00
Name,X,Y,Orient,Row,Flipped
MM16,0.000,1.0,MX_R180,PMOS,True
MM17,0.162,1.0,MX_R180,PMOS,True
MM2,0.324,1.0,MX_R180,PMOS,True
MM14,0.486,1.0,MX_R180,PMOS,True
MM12,0.648,1.0,MX_R180,PMOS,True
MM3,0.810,1.0,MX_R180,PMOS,True
MM11,0.972,1.0,MX,PMOS,False
MM10,1.134,1.0,MX_R180,PMOS,True
MM0,0.000,0.0,R0,NMOS,False
MM1,0.162,0.0,MY,NMOS,True
MM5,0.324,0.0,R0,NMOS,False
MM4,0.486,0.0,R0,NMOS,False
MM6,0.648,0.0,R0,NMOS,False
MM7,0.810,0.0,MY,NMOS,True
MM8,0.972,0.0,MY,NMOS,True
MM9,1.134,0.0,R0,NMOS,False
