Cell:,DLLx1_ASAP7_75t_R,Width:,16,HPWL:,46.00
Name,X,Y,Orient,Row,Flipped
MM3,0.000,1.0,MX_R180,PMOS,True
MM5,0.000,0.0,R0,NMOS,False
MM1,0.162,1.0,MX,PMOS,False
MM4,0.162,0.0,MY,NMOS,True
MM23,0.324,0.0,R0,NMOS,False
MM20,0.432,0.0,MY,NMOS,True
MM24,0.540,0.0,MY,NMOS,True
MM22,0.324,1.0,MX,PMOS,False
MM21,0.432,1.0,MX,PMOS,False
MM25,0.540,1.0,MX,PMOS,False
MM10,0.702,1.0,MX,PMOS,False
MM6,0.702,0.0,MY,NMOS,True
MM9,0.756,0.0,R0,NMOS,False
MM7,0.756,1.0,MX,PMOS,False
MM11,0.810,1.0,MX_R180,PMOS,True
MM8,0.810,0.0,R0,NMOS,False
