Cell:,AO322x2_ASAP7_75t_R,Width:,27,HPWL:,63.00
Name,X,Y,Orient,Row,Flipped
MM6,0.000,0.0,R0,NMOS,False
MM4,0.108,0.0,MY,NMOS,True
MM7,0.000,1.0,MX_R180,PMOS,True
MM10,0.162,1.0,MX,PMOS,False
MM13,0.324,1.0,MX,PMOS,False
MM11,0.486,1.0,MX,PMOS,False
MM8,0.648,1.0,MX,PMOS,False
MM9,0.810,1.0,MX_R180,PMOS,True
MM12,0.972,1.0,MX,PMOS,False
MM3,0.216,0.0,R0,NMOS,False
MM5,0.324,0.0,R0,NMOS,False
MM0,0.432,0.0,R0,NMOS,False
MM1,0.594,0.0,MY,NMOS,True
MM2,0.756,0.0,MY,NMOS,True
MM16,0.918,0.0,R0,NMOS,False
MM17,1.134,1.0,MX_R180,PMOS,True
