Cell:,DLLx1_ASAP7_75t_R,Width:,16,HPWL:,43.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,MY,NMOS,True
MM7,0.054,1.0,MX,PMOS,False
MM6,0.054,0.0,R0,NMOS,False
MM9,0.108,0.0,MY,NMOS,True
MM10,0.108,1.0,MX,PMOS,False
MM21,0.162,1.0,MX_R180,PMOS,True
MM20,0.162,0.0,MY,NMOS,True
MM24,0.270,0.0,MY,NMOS,True
MM23,0.432,0.0,R0,NMOS,False
MM25,0.270,1.0,MX,PMOS,False
MM22,0.432,1.0,MX_R180,PMOS,True
MM4,0.540,0.0,MY,NMOS,True
MM1,0.540,1.0,MX_R180,PMOS,True
MM3,0.702,1.0,MX_R180,PMOS,True
MM5,0.702,0.0,MY,NMOS,True
