Cell:,SDFHx1_ASAP7_75t_R,Width:,30,HPWL:,116.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX_R180,PMOS,True
MM16,0.000,0.0,MY,NMOS,True
MM8,0.054,0.0,R0,NMOS,False
MM15,0.054,1.0,MX,PMOS,False
MM14,0.108,0.0,R0,NMOS,False
MM18,0.108,1.0,MX,PMOS,False
MM7,0.162,1.0,MX,PMOS,False
MM11,0.216,1.0,MX,PMOS,False
MM6,0.162,0.0,MY,NMOS,True
MM17,0.216,0.0,MY,NMOS,True
MM12,0.270,0.0,MY,NMOS,True
MM13,0.270,1.0,MX_R180,PMOS,True
MM25,0.324,1.0,MX_R180,PMOS,True
MM9,0.324,0.0,R0,NMOS,False
MM10,0.486,1.0,MX_R180,PMOS,True
MM24,0.378,0.0,MY,NMOS,True
MM22,0.540,1.0,MX,PMOS,False
MM21,0.648,1.0,MX_R180,PMOS,True
MM20,0.540,0.0,R0,NMOS,False
MM23,0.648,0.0,R0,NMOS,False
MM1,0.756,1.0,MX,PMOS,False
MM4,0.756,0.0,MY,NMOS,True
MM30,0.918,0.0,R0,NMOS,False
MM31,0.918,1.0,MX,PMOS,False
MM3,0.972,1.0,MX,PMOS,False
MM0,0.972,0.0,R0,NMOS,False
MM27,1.134,1.0,MX_R180,PMOS,True
MM2,1.296,1.0,MX,PMOS,False
MM28,1.134,0.0,R0,NMOS,False
MM5,1.296,0.0,R0,NMOS,False
MM26,1.458,1.0,MX_R180,PMOS,True
MM29,1.458,0.0,R0,NMOS,False
