Cell:,AOI32xp33_ASAP7_75t_R,Width:,13,HPWL:,23.00
Name,X,Y,Orient,Row,Flipped
MM5,0.000,1.0,MX,PMOS,False
MM15,0.108,1.0,MX,PMOS,False
MM18,0.000,0.0,R0,NMOS,False
MM14,0.216,1.0,MX,PMOS,False
MM1,0.324,1.0,MX,PMOS,False
MM4,0.432,1.0,MX,PMOS,False
MM13,0.108,0.0,MY,NMOS,True
MM0,0.216,0.0,R0,NMOS,False
MM2,0.378,0.0,MY,NMOS,True
MM3,0.540,0.0,MY,NMOS,True
