Cell:,OAI32xp33_ASAP7_75t_R,Width:,13,HPWL:,23.00
Name,X,Y,Orient,Row,Flipped
MM21,0.000,0.0,R0,NMOS,False
MM13,0.000,1.0,MX,PMOS,False
MM18,0.108,1.0,MX,PMOS,False
MM3,0.216,1.0,MX_R180,PMOS,True
MM2,0.378,1.0,MX_R180,PMOS,True
MM1,0.108,0.0,MY,NMOS,True
MM5,0.216,0.0,MY,NMOS,True
MM14,0.324,0.0,MY,NMOS,True
MM0,0.540,1.0,MX_R180,PMOS,True
MM15,0.432,0.0,R0,NMOS,False
