Cell:,AO333x1_ASAP7_75t_R,Width:,30,HPWL:,133.00
Name,X,Y,Orient,Row,Flipped
MM15,0.000,1.0,MX_R180,PMOS,True
MM16,0.162,1.0,MX_R180,PMOS,True
MM4,0.324,1.0,MX_R180,PMOS,True
MM11,0.486,1.0,MX,PMOS,False
MM13,0.648,1.0,MX,PMOS,False
MM17,0.810,1.0,MX_R180,PMOS,True
MM14,0.000,0.0,R0,NMOS,False
MM7,0.972,1.0,MX,PMOS,False
MM5,1.134,1.0,MX_R180,PMOS,True
MM12,1.296,1.0,MX,PMOS,False
MM6,1.458,1.0,MX,PMOS,False
MM3,0.162,0.0,R0,NMOS,False
MM10,0.324,0.0,R0,NMOS,False
MM0,0.486,0.0,R0,NMOS,False
MM9,0.648,0.0,R0,NMOS,False
MM8,0.810,0.0,R0,NMOS,False
MM18,0.972,0.0,MY,NMOS,True
MM1,1.134,0.0,MY,NMOS,True
MM2,1.296,0.0,MY,NMOS,True
MM19,1.458,0.0,MY,NMOS,True
