Cell:,SDFLx3_ASAP7_75t_R,Width:,38,HPWL:,128.00
Name,X,Y,Orient,Row,Flipped
MM8,0.000,0.0,MY,NMOS,True
MM11,0.000,1.0,MX_R180,PMOS,True
MM6,0.054,0.0,MY,NMOS,True
MM7,0.054,1.0,MX,PMOS,False
MM10,0.108,1.0,MX_R180,PMOS,True
MM16,0.108,0.0,R0,NMOS,False
MM9,0.162,0.0,R0,NMOS,False
MM19,0.162,1.0,MX,PMOS,False
MM22,0.216,1.0,MX_R180,PMOS,True
MM23,0.216,0.0,R0,NMOS,False
MM21,0.324,1.0,MX_R180,PMOS,True
MM20,0.324,0.0,MY,NMOS,True
MM13,0.432,1.0,MX_R180,PMOS,True
MM1,0.486,1.0,MX,PMOS,False
MM18,0.648,1.0,MX,PMOS,False
MM12,0.432,0.0,R0,NMOS,False
MM17,0.486,0.0,R0,NMOS,False
MM4,0.540,0.0,MY,NMOS,True
MM14,0.702,0.0,R0,NMOS,False
MM15,0.702,1.0,MX,PMOS,False
MM31,0.756,1.0,MX,PMOS,False
MM3,0.918,1.0,MX_R180,PMOS,True
MM27,1.080,1.0,MX_R180,PMOS,True
MM30,1.242,1.0,MX,PMOS,False
MM32,0.756,0.0,R0,NMOS,False
MM29,0.918,0.0,MY,NMOS,True
MM24,1.080,0.0,R0,NMOS,False
MM25,1.404,1.0,MX,PMOS,False
MM5,1.566,0.0,R0,NMOS,False
MM26,1.728,0.0,MY,NMOS,True
MM2,1.890,1.0,MX,PMOS,False
MM0,1.890,0.0,R0,NMOS,False
