Cell:,DLLx2_ASAP7_75t_R,Width:,19,HPWL:,50.00
Name,X,Y,Orient,Row,Flipped
MM21,0.000,1.0,MX,PMOS,False
MM11,0.108,1.0,MX_R180,PMOS,True
MM10,0.162,1.0,MX_R180,PMOS,True
MM20,0.000,0.0,R0,NMOS,False
MM9,0.108,0.0,MY,NMOS,True
MM8,0.162,0.0,R0,NMOS,False
MM7,0.216,1.0,MX_R180,PMOS,True
MM23,0.216,0.0,R0,NMOS,False
MM6,0.324,0.0,MY,NMOS,True
MM22,0.270,1.0,MX,PMOS,False
MM25,0.378,1.0,MX_R180,PMOS,True
MM3,0.702,1.0,MX,PMOS,False
MM1,0.864,1.0,MX,PMOS,False
MM24,0.378,0.0,MY,NMOS,True
MM4,0.702,0.0,MY,NMOS,True
MM5,0.864,0.0,MY,NMOS,True
