Cell:,SDFHx4_ASAP7_75t_R,Width:,57,HPWL:,139.00
Name,X,Y,Orient,Row,Flipped
MM26,0.000,1.0,MX,PMOS,False
MM5,0.000,0.0,MY,NMOS,True
MM3,0.162,1.0,MX,PMOS,False
MM0,0.324,1.0,MX_R180,PMOS,True
MM2,0.486,1.0,MX,PMOS,False
MM31,0.648,1.0,MX_R180,PMOS,True
MM29,0.162,0.0,R0,NMOS,False
MM30,0.324,0.0,R0,NMOS,False
MM28,0.486,0.0,R0,NMOS,False
MM1,0.810,1.0,MX_R180,PMOS,True
MM27,0.648,0.0,MY,NMOS,True
MM10,0.972,1.0,MX,PMOS,False
MM4,0.810,0.0,R0,NMOS,False
MM21,1.134,1.0,MX_R180,PMOS,True
MM20,0.972,0.0,MY,NMOS,True
MM9,1.134,0.0,MY,NMOS,True
MM8,1.296,0.0,MY,NMOS,True
MM11,1.296,1.0,MX_R180,PMOS,True
MM22,1.458,1.0,MX_R180,PMOS,True
MM23,1.458,0.0,R0,NMOS,False
MM7,1.620,1.0,MX_R180,PMOS,True
MM6,1.620,0.0,R0,NMOS,False
MM16,1.782,0.0,R0,NMOS,False
MM19,1.782,1.0,MX,PMOS,False
MM13,1.944,1.0,MX,PMOS,False
MM17,1.944,0.0,R0,NMOS,False
MM12,2.106,0.0,MY,NMOS,True
MM18,2.106,1.0,MX_R180,PMOS,True
MM14,2.268,0.0,MY,NMOS,True
MM15,2.268,1.0,MX,PMOS,False
MM24,2.430,0.0,R0,NMOS,False
MM25,2.430,1.0,MX_R180,PMOS,True
