Cell:,DFFLQNx1_ASAP7_75t_R,Width:,20,HPWL:,72.00
Name,X,Y,Orient,Row,Flipped
MM19,0.000,1.0,MX_R180,PMOS,True
MM16,0.000,0.0,R0,NMOS,False
MM14,0.054,0.0,MY,NMOS,True
MM8,0.108,0.0,R0,NMOS,False
MM15,0.054,1.0,MX,PMOS,False
MM6,0.162,0.0,R0,NMOS,False
MM7,0.108,1.0,MX_R180,PMOS,True
MM11,0.162,1.0,MX,PMOS,False
MM13,0.216,1.0,MX_R180,PMOS,True
MM18,0.270,1.0,MX_R180,PMOS,True
MM17,0.216,0.0,R0,NMOS,False
MM12,0.270,0.0,MY,NMOS,True
MM24,0.324,0.0,MY,NMOS,True
MM9,0.486,0.0,MY,NMOS,True
MM25,0.324,1.0,MX_R180,PMOS,True
MM10,0.486,1.0,MX,PMOS,False
MM22,0.540,1.0,MX,PMOS,False
MM21,0.648,1.0,MX,PMOS,False
MM23,0.540,0.0,R0,NMOS,False
MM20,0.648,0.0,R0,NMOS,False
MM1,0.756,1.0,MX_R180,PMOS,True
MM4,0.756,0.0,R0,NMOS,False
MM3,0.918,1.0,MX_R180,PMOS,True
MM5,0.918,0.0,R0,NMOS,False
