Cell:,SDFHx2_ASAP7_75t_R,Width:,33,HPWL:,130.00
Name,X,Y,Orient,Row,Flipped
MM7,0.000,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,MY,NMOS,True
MM11,0.054,1.0,MX,PMOS,False
MM16,0.054,0.0,MY,NMOS,True
MM19,0.108,1.0,MX_R180,PMOS,True
MM6,0.108,0.0,MY,NMOS,True
MM10,0.162,1.0,MX_R180,PMOS,True
MM13,0.216,1.0,MX_R180,PMOS,True
MM18,0.270,1.0,MX,PMOS,False
MM22,0.324,1.0,MX_R180,PMOS,True
MM21,0.432,1.0,MX,PMOS,False
MM9,0.162,0.0,R0,NMOS,False
MM17,0.216,0.0,MY,NMOS,True
MM20,0.270,0.0,MY,NMOS,True
MM12,0.378,0.0,R0,NMOS,False
MM23,0.432,0.0,R0,NMOS,False
MM14,0.540,0.0,MY,NMOS,True
MM15,0.540,1.0,MX,PMOS,False
MM31,0.594,1.0,MX_R180,PMOS,True
MM1,0.648,1.0,MX_R180,PMOS,True
MM4,0.594,0.0,MY,NMOS,True
MM30,0.756,0.0,MY,NMOS,True
MM25,0.810,1.0,MX,PMOS,False
MM24,0.810,0.0,R0,NMOS,False
MM28,1.134,0.0,R0,NMOS,False
MM3,1.134,1.0,MX_R180,PMOS,True
MM0,1.296,0.0,R0,NMOS,False
MM27,1.296,1.0,MX_R180,PMOS,True
MM2,1.458,1.0,MX_R180,PMOS,True
MM29,1.458,0.0,R0,NMOS,False
MM26,1.620,1.0,MX_R180,PMOS,True
MM5,1.620,0.0,R0,NMOS,False
