Cell:,SDFLx1_ASAP7_75t_R,Width:,32,HPWL:,112.00
Name,X,Y,Orient,Row,Flipped
MM14,0.000,0.0,MY,NMOS,True
MM8,0.054,0.0,R0,NMOS,False
MM19,0.000,1.0,MX,PMOS,False
MM16,0.108,0.0,MY,NMOS,True
MM18,0.054,1.0,MX,PMOS,False
MM15,0.108,1.0,MX_R180,PMOS,True
MM17,0.162,0.0,MY,NMOS,True
MM13,0.162,1.0,MX,PMOS,False
MM11,0.216,1.0,MX,PMOS,False
MM6,0.216,0.0,R0,NMOS,False
MM7,0.270,1.0,MX,PMOS,False
MM10,0.324,1.0,MX_R180,PMOS,True
MM9,0.270,0.0,MY,NMOS,True
MM12,0.324,0.0,MY,NMOS,True
MM24,0.378,0.0,MY,NMOS,True
MM25,0.378,1.0,MX,PMOS,False
MM21,0.540,1.0,MX_R180,PMOS,True
MM20,0.540,0.0,MY,NMOS,True
MM22,0.648,1.0,MX_R180,PMOS,True
MM23,0.648,0.0,MY,NMOS,True
MM1,0.756,1.0,MX_R180,PMOS,True
MM4,0.756,0.0,R0,NMOS,False
MM5,0.918,0.0,MY,NMOS,True
MM3,0.918,1.0,MX_R180,PMOS,True
MM31,1.080,1.0,MX_R180,PMOS,True
MM32,1.080,0.0,R0,NMOS,False
MM27,1.242,1.0,MX_R180,PMOS,True
MM30,1.404,1.0,MX,PMOS,False
MM0,1.242,0.0,R0,NMOS,False
MM2,1.566,1.0,MX,PMOS,False
MM26,1.404,0.0,R0,NMOS,False
MM29,1.566,0.0,R0,NMOS,False
