Cell:,DHLx3_ASAP7_75t_R,Width:,22,HPWL:,43.00
Name,X,Y,Orient,Row,Flipped
MM8,0.000,0.0,R0,NMOS,False
MM11,0.000,1.0,MX,PMOS,False
MM12,0.054,1.0,MX,PMOS,False
MM13,0.162,1.0,MX_R180,PMOS,True
MM0,0.054,0.0,R0,NMOS,False
MM2,0.162,0.0,R0,NMOS,False
MM9,0.270,0.0,R0,NMOS,False
MM10,0.270,1.0,MX_R180,PMOS,True
MM6,0.324,0.0,MY,NMOS,True
MM7,0.324,1.0,MX,PMOS,False
MM1,0.378,1.0,MX_R180,PMOS,True
MM3,0.540,1.0,MX,PMOS,False
MM4,0.378,0.0,R0,NMOS,False
MM5,0.540,0.0,MY,NMOS,True
MM24,0.702,0.0,R0,NMOS,False
MM25,0.702,1.0,MX_R180,PMOS,True
