Cell:,HB4xp67_ASAP7_75t_R,Width:,6,HPWL:,17.00
Name,X,Y,Orient,Row,Flipped
MM2,0.000,1.0,MX,PMOS,False
MM4,0.054,1.0,MX_R180,PMOS,True
MM3,0.000,0.0,MY,NMOS,True
MM7,0.054,0.0,R0,NMOS,False
MM6,0.108,1.0,MX,PMOS,False
MM8,0.108,0.0,R0,NMOS,False
MM9,0.162,0.0,MY,NMOS,True
MM0,0.216,0.0,R0,NMOS,False
MM5,0.162,1.0,MX_R180,PMOS,True
MM1,0.216,1.0,MX_R180,PMOS,True
