Cell:,AND3x4_ASAP7_75t_R,Width:,30,HPWL:,28.00
Name,X,Y,Orient,Row,Flipped
MM6,0.000,1.0,MX,PMOS,False
MM7,0.000,0.0,MY,NMOS,True
MM4,0.648,1.0,MX_R180,PMOS,True
MM5,0.810,1.0,MX_R180,PMOS,True
MM0,0.648,0.0,R0,NMOS,False
MM3,0.972,1.0,MX_R180,PMOS,True
MM1,0.972,0.0,MY,NMOS,True
MM2,1.296,0.0,MY,NMOS,True
