Cell:,OA332x2_ASAP7_75t_R,Width:,30,HPWL:,82.00
Name,X,Y,Orient,Row,Flipped
MM10,0.000,1.0,MX,PMOS,False
MM3,0.162,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,MY,NMOS,True
MM7,0.162,0.0,MY,NMOS,True
MM9,0.324,0.0,MY,NMOS,True
MM5,0.486,0.0,R0,NMOS,False
MM11,0.324,1.0,MX_R180,PMOS,True
MM2,0.486,1.0,MX_R180,PMOS,True
MM16,0.648,1.0,MX,PMOS,False
MM6,0.648,0.0,R0,NMOS,False
MM4,0.810,0.0,R0,NMOS,False
MM0,0.972,0.0,R0,NMOS,False
MM14,0.810,1.0,MX_R180,PMOS,True
MM17,0.972,1.0,MX,PMOS,False
MM12,1.134,1.0,MX_R180,PMOS,True
MM1,1.134,0.0,R0,NMOS,False
MM18,1.296,0.0,MY,NMOS,True
MM19,1.296,1.0,MX_R180,PMOS,True
