action,file,mos,bucket
KEEP,preprocess/INVx2_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVx3_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVx4_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVx5_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVx6_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVx8_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVxp33_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/INVxp67_ASAP7_75t_R.json,2,0-5
KEEP,preprocess/MAJIxp5_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/MAJx2_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/MAJx3_ASAP7_75t_R.json,12,10-15
KEEP,preprocess/NAND2x1_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND2x1p5_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND2x2_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND2xp33_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND2xp5_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND2xp67_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NAND3x1_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/NAND3x2_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/NAND3xp33_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/NAND4xp25_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/NAND4xp75_ASAP7_75t_R.json,8,6-9
KEEP,preprocess/NAND5xp2_ASAP7_75t_R.json,10,10-15
KEEP,preprocess/NOR2x1_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NOR2x1p5_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NOR2x2_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NOR2xp33_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NOR2xp67_ASAP7_75t_R.json,4,0-5
KEEP,preprocess/NOR3x1_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/NOR3x2_ASAP7_75t_R.json,6,6-9
KEEP,preprocess/NOR3xp33_ASAP7_75t_R.json,6,6-9
