Cell:,AO332x2_ASAP7_75t_R,Width:,30,HPWL:,82.00
Name,X,Y,Orient,Row,Flipped
MM13,0.000,0.0,R0,NMOS,False
MM15,0.000,1.0,MX,PMOS,False
MM7,0.324,1.0,MX_R180,PMOS,True
MM5,0.486,1.0,MX_R180,PMOS,True
MM8,0.648,1.0,MX,PMOS,False
MM3,0.324,0.0,R0,NMOS,False
MM9,0.810,1.0,MX,PMOS,False
MM10,0.486,0.0,MY,NMOS,True
MM2,0.648,0.0,R0,NMOS,False
MM0,0.972,1.0,MX,PMOS,False
MM14,0.810,0.0,MY,NMOS,True
MM11,0.972,0.0,R0,NMOS,False
MM1,1.134,1.0,MX,PMOS,False
MM6,1.296,1.0,MX,PMOS,False
MM12,1.134,0.0,R0,NMOS,False
MM4,1.458,1.0,MX_R180,PMOS,True
MM17,1.296,0.0,MY,NMOS,True
MM16,1.458,0.0,R0,NMOS,False
