Cell:,AO331x2_ASAP7_75t_R,Width:,27,HPWL:,67.00
Name,X,Y,Orient,Row,Flipped
MM0,0.000,1.0,MX,PMOS,False
MM1,0.000,0.0,MY,NMOS,True
MM22,0.324,0.0,R0,NMOS,False
MM27,0.324,1.0,MX_R180,PMOS,True
MM21,0.486,1.0,MX_R180,PMOS,True
MM14,0.486,0.0,R0,NMOS,False
MM17,0.648,0.0,R0,NMOS,False
MM15,0.810,0.0,R0,NMOS,False
MM23,0.648,1.0,MX_R180,PMOS,True
MM20,0.810,1.0,MX,PMOS,False
MM24,0.972,1.0,MX,PMOS,False
MM19,0.972,0.0,R0,NMOS,False
MM26,1.134,1.0,MX,PMOS,False
MM25,1.296,1.0,MX_R180,PMOS,True
MM18,1.134,0.0,MY,NMOS,True
MM16,1.296,0.0,MY,NMOS,True
