Cell:,AO331x1_ASAP7_75t_R,Width:,24,HPWL:,67.00
Name,X,Y,Orient,Row,Flipped
MM26,0.000,1.0,MX,PMOS,False
MM21,0.162,1.0,MX,PMOS,False
MM25,0.324,1.0,MX,PMOS,False
MM20,0.486,1.0,MX_R180,PMOS,True
MM23,0.648,1.0,MX_R180,PMOS,True
MM19,0.000,0.0,MY,NMOS,True
MM18,0.162,0.0,R0,NMOS,False
MM16,0.324,0.0,MY,NMOS,True
MM24,0.810,1.0,MX,PMOS,False
MM15,0.486,0.0,MY,NMOS,True
MM17,0.648,0.0,R0,NMOS,False
MM27,0.972,1.0,MX_R180,PMOS,True
MM0,1.134,1.0,MX_R180,PMOS,True
MM14,0.810,0.0,MY,NMOS,True
MM22,0.972,0.0,MY,NMOS,True
MM1,1.134,0.0,R0,NMOS,False
