Cell:,DHLx1_ASAP7_75t_R,Width:,16,HPWL:,43.00
Name,X,Y,Orient,Row,Flipped
MM12,0.000,1.0,MX,PMOS,False
MM0,0.000,0.0,MY,NMOS,True
MM3,0.108,1.0,MX_R180,PMOS,True
MM5,0.108,0.0,R0,NMOS,False
MM4,0.270,0.0,MY,NMOS,True
MM9,0.432,0.0,MY,NMOS,True
MM1,0.270,1.0,MX_R180,PMOS,True
MM11,0.432,1.0,MX,PMOS,False
MM2,0.486,0.0,MY,NMOS,True
MM13,0.486,1.0,MX,PMOS,False
MM10,0.594,1.0,MX,PMOS,False
MM7,0.648,1.0,MX,PMOS,False
MM8,0.594,0.0,R0,NMOS,False
MM25,0.702,1.0,MX_R180,PMOS,True
MM6,0.648,0.0,R0,NMOS,False
MM24,0.702,0.0,R0,NMOS,False
