Cell:,AO333x2_ASAP7_75t_R,Width:,33,HPWL:,106.00
Name,X,Y,Orient,Row,Flipped
MM4,0.000,1.0,MX,PMOS,False
MM16,0.324,1.0,MX_R180,PMOS,True
MM17,0.486,1.0,MX,PMOS,False
MM15,0.648,1.0,MX_R180,PMOS,True
MM11,0.810,1.0,MX_R180,PMOS,True
MM7,0.972,1.0,MX,PMOS,False
MM12,1.134,1.0,MX_R180,PMOS,True
MM19,0.000,0.0,MY,NMOS,True
MM3,0.162,0.0,MY,NMOS,True
MM18,0.486,0.0,R0,NMOS,False
MM13,1.296,1.0,MX_R180,PMOS,True
MM5,1.458,1.0,MX_R180,PMOS,True
MM10,0.648,0.0,R0,NMOS,False
MM14,0.810,0.0,R0,NMOS,False
MM6,1.620,1.0,MX,PMOS,False
MM8,0.972,0.0,MY,NMOS,True
MM0,1.134,0.0,MY,NMOS,True
MM9,1.296,0.0,R0,NMOS,False
MM1,1.458,0.0,MY,NMOS,True
MM2,1.620,0.0,R0,NMOS,False
