Cell:,OAI211xp5_ASAP7_75t_R,Width:,12,HPWL:,22.00
Name,X,Y,Orient,Row,Flipped
MM40,0.000,0.0,MY,NMOS,True
MM39,0.000,1.0,MX_R180,PMOS,True
MM37,0.108,1.0,MX,PMOS,False
MM36,0.216,1.0,MX,PMOS,False
MM41,0.162,0.0,R0,NMOS,False
MM42,0.324,0.0,R0,NMOS,False
MM38,0.324,1.0,MX_R180,PMOS,True
MM43,0.486,0.0,MY,NMOS,True
