Cell:,SDFHx2_ASAP7_75t_R,Width:,33,HPWL:,132.00
Name,X,Y,Orient,Row,Flipped
MM9,0.000,0.0,MY,NMOS,True
MM8,0.054,0.0,MY,NMOS,True
MM6,0.108,0.0,R0,NMOS,False
MM11,0.000,1.0,MX,PMOS,False
MM19,0.054,1.0,MX_R180,PMOS,True
MM17,0.162,0.0,MY,NMOS,True
MM7,0.108,1.0,MX_R180,PMOS,True
MM16,0.216,0.0,R0,NMOS,False
MM18,0.162,1.0,MX,PMOS,False
MM10,0.216,1.0,MX_R180,PMOS,True
MM21,0.270,1.0,MX_R180,PMOS,True
MM23,0.270,0.0,R0,NMOS,False
MM12,0.378,0.0,MY,NMOS,True
MM13,0.378,1.0,MX,PMOS,False
MM15,0.432,1.0,MX_R180,PMOS,True
MM22,0.486,1.0,MX_R180,PMOS,True
MM1,0.594,1.0,MX_R180,PMOS,True
MM14,0.432,0.0,R0,NMOS,False
MM20,0.486,0.0,MY,NMOS,True
MM25,0.756,1.0,MX,PMOS,False
MM4,0.594,0.0,R0,NMOS,False
MM24,0.756,0.0,R0,NMOS,False
MM31,1.080,1.0,MX,PMOS,False
MM2,1.134,1.0,MX,PMOS,False
MM3,1.296,1.0,MX_R180,PMOS,True
MM30,1.080,0.0,MY,NMOS,True
MM28,1.134,0.0,R0,NMOS,False
MM27,1.458,1.0,MX,PMOS,False
MM26,1.620,1.0,MX,PMOS,False
MM0,1.296,0.0,MY,NMOS,True
MM5,1.458,0.0,MY,NMOS,True
MM29,1.620,0.0,R0,NMOS,False
