Cell:,SDFHx3_ASAP7_75t_R,Width:,36,HPWL:,152.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM10,0.054,1.0,MX_R180,PMOS,True
MM7,0.108,1.0,MX_R180,PMOS,True
MM17,0.000,0.0,R0,NMOS,False
MM20,0.054,0.0,R0,NMOS,False
MM23,0.162,0.0,R0,NMOS,False
MM6,0.270,0.0,MY,NMOS,True
MM9,0.324,0.0,MY,NMOS,True
MM8,0.378,0.0,MY,NMOS,True
MM19,0.162,1.0,MX_R180,PMOS,True
MM22,0.216,1.0,MX,PMOS,False
MM12,0.432,0.0,MY,NMOS,True
MM21,0.324,1.0,MX_R180,PMOS,True
MM13,0.432,1.0,MX_R180,PMOS,True
MM18,0.486,1.0,MX,PMOS,False
MM1,0.540,1.0,MX,PMOS,False
MM16,0.486,0.0,R0,NMOS,False
MM27,0.702,1.0,MX_R180,PMOS,True
MM4,0.540,0.0,MY,NMOS,True
MM14,0.702,0.0,MY,NMOS,True
MM24,0.756,0.0,R0,NMOS,False
MM30,1.242,0.0,R0,NMOS,False
MM15,0.864,1.0,MX,PMOS,False
MM2,0.918,1.0,MX_R180,PMOS,True
MM3,1.080,1.0,MX_R180,PMOS,True
MM26,1.242,1.0,MX_R180,PMOS,True
MM31,1.404,1.0,MX_R180,PMOS,True
MM25,1.458,1.0,MX_R180,PMOS,True
MM28,1.296,0.0,R0,NMOS,False
MM29,1.458,0.0,R0,NMOS,False
MM5,1.620,0.0,MY,NMOS,True
MM0,1.782,0.0,MY,NMOS,True
