Cell:,SDFLx4_ASAP7_75t_R,Width:,57,HPWL:,181.00
Name,X,Y,Orient,Row,Flipped
MM10,0.000,1.0,MX_R180,PMOS,True
MM1,0.162,1.0,MX,PMOS,False
MM26,0.324,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,R0,NMOS,False
MM9,0.162,0.0,R0,NMOS,False
MM21,0.486,1.0,MX_R180,PMOS,True
MM2,0.648,1.0,MX_R180,PMOS,True
MM22,0.810,1.0,MX_R180,PMOS,True
MM11,0.972,1.0,MX_R180,PMOS,True
MM0,1.134,1.0,MX,PMOS,False
MM3,1.296,1.0,MX,PMOS,False
MM6,0.324,0.0,MY,NMOS,True
MM7,1.458,1.0,MX,PMOS,False
MM20,0.486,0.0,R0,NMOS,False
MM23,0.648,0.0,R0,NMOS,False
MM4,0.810,0.0,R0,NMOS,False
MM31,1.620,1.0,MX_R180,PMOS,True
MM27,0.972,0.0,MY,NMOS,True
MM5,1.134,0.0,MY,NMOS,True
MM28,1.296,0.0,R0,NMOS,False
MM29,1.458,0.0,R0,NMOS,False
MM30,1.620,0.0,MY,NMOS,True
MM19,1.782,1.0,MX_R180,PMOS,True
MM12,1.782,0.0,MY,NMOS,True
MM13,1.944,1.0,MX_R180,PMOS,True
MM18,2.106,1.0,MX,PMOS,False
MM16,1.944,0.0,R0,NMOS,False
MM17,2.106,0.0,R0,NMOS,False
MM15,2.268,1.0,MX_R180,PMOS,True
MM14,2.268,0.0,MY,NMOS,True
MM24,2.430,0.0,R0,NMOS,False
MM25,2.430,1.0,MX_R180,PMOS,True
