Cell:,SDFLx3_ASAP7_75t_R,Width:,38,HPWL:,128.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX_R180,PMOS,True
MM8,0.000,0.0,R0,NMOS,False
MM6,0.054,0.0,R0,NMOS,False
MM10,0.054,1.0,MX,PMOS,False
MM9,0.108,0.0,MY,NMOS,True
MM19,0.108,1.0,MX,PMOS,False
MM22,0.162,1.0,MX,PMOS,False
MM7,0.270,1.0,MX_R180,PMOS,True
MM18,0.324,1.0,MX,PMOS,False
MM20,0.162,0.0,MY,NMOS,True
MM12,0.270,0.0,R0,NMOS,False
MM13,0.378,1.0,MX_R180,PMOS,True
MM21,0.432,1.0,MX,PMOS,False
MM23,0.324,0.0,R0,NMOS,False
MM16,0.432,0.0,MY,NMOS,True
MM1,0.540,1.0,MX_R180,PMOS,True
MM17,0.486,0.0,MY,NMOS,True
MM15,0.702,1.0,MX_R180,PMOS,True
MM4,0.540,0.0,R0,NMOS,False
MM14,0.702,0.0,MY,NMOS,True
MM31,0.756,1.0,MX,PMOS,False
MM3,0.918,1.0,MX_R180,PMOS,True
MM30,1.080,1.0,MX,PMOS,False
MM27,1.242,1.0,MX,PMOS,False
MM24,0.756,0.0,MY,NMOS,True
MM25,1.404,1.0,MX_R180,PMOS,True
MM26,1.242,0.0,MY,NMOS,True
MM5,1.404,0.0,MY,NMOS,True
MM32,1.566,0.0,R0,NMOS,False
MM29,1.728,0.0,R0,NMOS,False
MM0,1.890,0.0,R0,NMOS,False
MM2,1.890,1.0,MX,PMOS,False
