Cell:,DFFLQNx2_ASAP7_75t_R,Width:,23,HPWL:,86.00
Name,X,Y,Orient,Row,Flipped
MM11,0.000,1.0,MX,PMOS,False
MM8,0.000,0.0,R0,NMOS,False
MM20,0.054,0.0,R0,NMOS,False
MM17,0.162,0.0,MY,NMOS,True
MM10,0.054,1.0,MX,PMOS,False
MM16,0.216,0.0,MY,NMOS,True
MM6,0.270,0.0,MY,NMOS,True
MM13,0.108,1.0,MX_R180,PMOS,True
MM7,0.162,1.0,MX,PMOS,False
MM19,0.216,1.0,MX,PMOS,False
MM12,0.324,0.0,R0,NMOS,False
MM23,0.378,0.0,MY,NMOS,True
MM18,0.270,1.0,MX_R180,PMOS,True
MM21,0.324,1.0,MX,PMOS,False
MM15,0.432,1.0,MX,PMOS,False
MM9,0.486,0.0,R0,NMOS,False
MM22,0.486,1.0,MX,PMOS,False
MM14,0.540,0.0,R0,NMOS,False
MM25,0.594,1.0,MX,PMOS,False
MM1,0.918,1.0,MX,PMOS,False
MM24,0.594,0.0,R0,NMOS,False
MM4,0.918,0.0,MY,NMOS,True
MM3,1.080,1.0,MX,PMOS,False
MM5,1.080,0.0,MY,NMOS,True
