Cell:,NOR2xp67_ASAP7_75t_R,Width:,8,HPWL:,11.00
Name,X,Y,Orient,Row,Flipped
MM4,0.000,1.0,MX_R180,PMOS,True
MM3,0.216,1.0,MX,PMOS,False
MM2,0.000,0.0,MY,NMOS,True
MM1,0.108,0.0,R0,NMOS,False
